Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E1,16/04/2024,20:00,Southampton,Preston,3,0,H,3,0,H,S Barrott,23,1,6,1,7,12,5,0,0,2,0,0,1.33,5.25,9,1.35,5.25,8.25,,,,1.36,5.23,8.96,1.35,4.8,8.5,1.33,5.25,8.5,1.39,5.5,9.1,1.35,5.18,8.35,1.57,2.38,1.6,2.46,1.6,2.5,1.55,2.43,-1.5,2.05,1.85,2.06,1.85,2.07,1.87,2.01,1.83,1.3,5.75,9.5,1.32,5.5,9,,,,1.29,5.82,10.63,1.3,5,9.5,1.29,5.5,10,1.32,6,11,1.3,5.59,9.68,1.5,2.63,1.5,2.69,1.52,2.75,1.49,2.62,-1.5,1.85,2.05,1.86,2.05,1.91,2.09,1.85,1.99
E1,20/04/2024,12:30,Leicester,West Brom,2,1,H,1,0,H,T Bramall,11,18,3,6,15,13,4,6,3,2,0,0,1.55,4.2,6,1.58,4.1,5.5,,,,1.56,4.32,6.07,1.55,4,5.8,1.53,4.2,6,1.58,4.4,6.2,1.55,4.2,5.86,1.8,2,1.82,2.06,1.83,2.08,1.79,2.02,-1,1.95,1.95,1.95,1.94,1.99,1.95,1.93,1.9,1.53,4,6.5,1.55,4.1,6,,,,1.57,4.16,6.21,1.53,3.9,6.5,1.5,4.2,6.5,1.57,4.33,6.86,1.54,4.15,6.12,1.93,1.93,1.92,1.97,1.96,2.04,1.87,1.94,-1,1.95,1.95,1.98,1.93,1.98,1.99,1.93,1.91
E1,20/04/2024,15:00,Cardiff,Southampton,2,1,H,0,1,A,O Langford,12,21,7,8,12,8,4,5,1,3,0,0,8,4.5,1.4,7,4.75,1.43,,,,7.55,4.93,1.42,7.5,4.4,1.4,7.5,4.8,1.4,8,5.1,1.43,7.31,4.78,1.41,1.62,2.3,1.64,2.36,1.64,2.4,1.6,2.32,1.25,1.93,1.97,1.94,1.96,1.98,1.98,1.91,1.91,10,5.75,1.29,9.5,6,1.29,,,,9.58,6.16,1.29,10,5.5,1.29,10.5,6,1.25,10.5,6.2,1.32,9.4,5.86,1.29,1.44,2.75,1.43,2.9,1.5,3,1.44,2.76,1.75,1.89,2.01,1.88,2,1.91,2.18,1.83,2.01
E1,20/04/2024,15:00,Huddersfield,Swansea,0,4,A,0,0,D,J Busby,9,19,0,7,15,10,4,7,2,1,0,0,2.1,3.6,3.4,2.1,3.6,3.3,,,,2.14,3.62,3.46,2.15,3.3,3.3,2.1,3.5,3.4,2.2,3.66,3.47,2.12,3.54,3.34,1.93,1.93,1.93,1.95,1.95,1.96,1.9,1.89,-0.25,1.86,2.04,1.86,2.05,1.9,2.08,1.83,1.99,2.05,3.5,3.5,2.1,3.5,3.4,,,,2.07,3.69,3.56,2.1,3.3,3.4,2.05,3.6,3.4,2.11,3.7,3.6,2.08,3.56,3.43,1.85,2,1.88,2.02,1.9,2.05,1.84,1.96,-0.25,1.82,2.08,1.8,2.11,1.84,2.12,1.8,2.04
E1,20/04/2024,15:00,Norwich,Bristol City,1,1,D,0,0,D,S Barrott,10,13,3,5,13,9,8,5,1,2,0,0,1.67,4,5,1.68,3.8,4.8,,,,1.66,4.15,5.15,1.67,3.7,5,1.65,3.9,5,1.69,4.2,5.15,1.66,3.98,4.94,1.9,1.95,1.91,1.98,1.93,1.99,1.88,1.92,-0.75,1.87,2.03,1.85,2.06,1.89,2.06,1.84,1.98,1.7,4,4.5,1.65,3.9,5,,,,1.68,4.1,5.05,1.65,3.75,5,1.65,3.9,5,1.75,4.2,5.2,1.67,3.99,4.9,1.88,1.98,1.88,2.01,1.99,2.04,1.85,1.96,-0.75,1.95,1.95,1.88,2.02,1.96,2.06,1.86,1.98
E1,20/04/2024,15:00,Rotherham,Birmingham,0,0,D,0,0,D,K Stroud,11,6,4,2,16,11,7,6,4,2,0,0,5.5,4,1.62,5.5,4,1.6,,,,5.61,4.06,1.63,5.5,3.75,1.6,5.75,4,1.57,5.91,4.2,1.63,5.56,3.98,1.6,1.98,1.88,2.01,1.88,2.02,1.95,1.94,1.86,1,1.81,2.09,1.78,2.14,1.83,2.14,1.78,2.06,5,4,1.67,5.25,3.9,1.65,,,,5.17,3.93,1.68,5.5,3.7,1.65,5.25,3.8,1.65,5.5,4.1,1.72,5.15,3.9,1.66,2,1.85,2.03,1.85,2.06,1.9,1.96,1.84,0.75,2.01,1.89,2,1.89,2.08,1.93,1.99,1.85
E1,20/04/2024,15:00,Stoke,Plymouth,3,0,H,2,0,H,R Madley,23,8,4,1,14,11,7,3,3,4,0,0,1.8,3.5,4.75,1.83,3.5,4.33,,,,1.85,3.29,5.26,1.83,3.5,4.2,1.8,3.6,4.33,1.87,3.68,5.3,1.84,3.41,4.62,1.93,1.93,1.96,1.93,1.98,1.94,1.91,1.89,-0.5,1.84,2.06,1.85,2.06,1.88,2.06,1.83,2.01,1.67,3.75,5,1.75,3.7,4.6,,,,1.72,3.74,5.33,1.73,3.7,4.5,1.7,3.8,4.8,1.8,3.88,5.33,1.74,3.68,4.84,1.67,2.2,1.71,2.23,1.8,2.25,1.73,2.11,-0.75,1.91,1.99,1.93,1.98,2,2,1.93,1.9
E1,20/04/2024,15:00,Sunderland,Millwall,0,1,A,0,0,D,A Backhouse,13,4,3,1,11,9,11,4,3,2,0,0,2.2,3.25,3.5,2.2,3.3,3.3,,,,2.23,3.26,3.59,2.2,3.2,3.3,2.15,3.3,3.4,2.26,3.35,3.6,2.2,3.24,3.42,2.2,1.67,2.3,1.67,2.3,1.7,2.21,1.67,-0.25,1.9,2,1.91,2,1.93,2.01,1.87,1.95,2.15,3.25,3.6,2.2,3.2,3.5,,,,2.23,3.17,3.71,2.15,3.1,3.5,2.15,3.25,3.5,2.23,3.31,3.74,2.18,3.19,3.56,2.3,1.62,2.38,1.63,2.42,1.65,2.32,1.61,-0.25,1.9,2,1.9,2.01,1.93,2.04,1.86,1.97
E1,20/04/2024,15:00,Watford,Hull,0,0,D,0,0,D,B Toner,17,13,2,6,19,13,1,5,4,4,0,0,2.9,3.5,2.38,2.8,3.5,2.37,,,,2.95,3.5,2.45,2.75,3.4,2.45,2.8,3.5,2.38,2.98,3.55,2.48,2.86,3.45,2.4,1.83,2.03,1.86,2.03,1.88,2.04,1.82,1.98,0.25,1.81,2.09,1.81,2.12,1.81,2.21,1.77,2.06,2.88,3.4,2.45,2.8,3.5,2.37,,,,2.9,3.49,2.49,2.8,3.4,2.4,2.8,3.5,2.4,2.97,3.51,2.52,2.85,3.43,2.44,1.88,1.98,1.88,2.01,1.99,2.02,1.85,1.96,0.25,1.73,2.08,1.78,2.15,1.81,2.15,1.76,2.09
E1,20/04/2024,17:15,QPR,Preston,1,0,H,1,0,H,G Ward,18,10,7,2,9,16,5,3,2,4,0,0,1.85,3.5,4.5,1.9,3.4,4.2,,,,1.89,3.58,4.39,1.91,3.25,4.2,1.87,3.4,4.33,1.96,3.59,4.5,1.9,3.46,4.21,2.2,1.67,2.24,1.7,2.28,1.7,2.19,1.67,-0.5,1.92,1.98,1.9,2,1.96,2,1.9,1.94,1.91,3.5,4.2,1.9,3.4,4.2,,,,1.91,3.53,4.39,1.91,3.3,4.2,1.87,3.4,4.33,1.96,3.56,4.4,1.92,3.43,4.22,2.2,1.67,2.27,1.68,2.35,1.7,2.22,1.66,-0.5,1.92,1.98,1.92,1.99,1.96,2.02,1.91,1.94
E1,21/04/2024,12:30,Blackburn,Sheffield Weds,1,3,A,1,1,D,J Pawson,8,11,3,5,9,12,6,2,3,3,0,0,2.05,3.6,3.5,2.05,3.5,3.5,,,,2.09,3.54,3.68,2,3.4,3.7,1.95,3.4,3.4,2.09,3.6,3.75,2.04,3.49,3.58,1.95,1.9,1.97,1.92,1.99,1.98,1.91,1.89,-0.5,2.07,1.83,2.1,1.83,2.1,1.85,2.04,1.81,2.1,3.5,3.4,2.15,3.4,3.3,,,,2.12,3.53,3.6,2.15,3.3,3.3,2.1,3.4,3.4,2.2,3.58,3.6,2.14,3.45,3.39,1.95,1.9,1.94,1.94,2.04,1.97,1.93,1.88,-0.25,1.83,2.07,1.83,2.08,1.89,2.08,1.84,2
