Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
I1,19/04/2024,17:30,Genoa,Lazio,0,1,A,0,0,D,8,13,2,1,7,13,2,9,1,2,0,0,3.1,3.1,2.45,3.1,3,2.5,,,,3.24,3.16,2.49,3.1,3.2,2.38,3.25,3,2.4,3.28,3.31,2.5,3.15,3.13,2.47,2.38,1.57,2.44,1.62,2.49,1.64,2.39,1.59,0.25,1.81,2.09,1.83,2.11,1.87,2.12,1.79,2.06,3.1,3.1,2.45,3.1,3.1,2.4,,,,3.16,3.25,2.48,3,3.1,2.45,3.2,3,2.4,3.28,3.25,2.51,3.11,3.12,2.45,2.3,1.62,2.4,1.63,2.49,1.66,2.34,1.6,0.25,1.81,2.09,1.83,2.12,1.86,2.12,1.78,2.06
I1,19/04/2024,19:45,Cagliari,Juventus,2,2,D,2,0,H,9,11,4,3,16,15,4,3,2,3,0,0,5,3.5,1.75,5,3.4,1.77,,,,5.16,3.58,1.79,5,3.5,1.73,5.5,3.3,1.73,5.5,3.71,1.81,5.06,3.52,1.78,2.2,1.67,2.32,1.67,2.35,1.72,2.27,1.65,0.75,1.85,2.05,1.87,2.06,1.87,2.08,1.83,2.01,4.5,3.3,1.91,4.33,3.3,1.9,,,,4.57,3.34,1.96,4.75,3.5,1.75,4.8,3.2,1.85,5,3.6,1.96,4.65,3.38,1.88,2.3,1.62,2.38,1.63,2.4,1.68,2.32,1.62,0.5,1.95,1.95,1.95,1.97,2.06,1.97,1.98,1.89
I1,20/04/2024,17:00,Empoli,Napoli,1,0,H,1,0,H,7,9,1,1,14,12,2,8,2,2,0,0,4.75,4,1.7,4.5,4,1.72,,,,5.1,4.06,1.68,4.8,3.9,1.67,5.25,3.75,1.67,5.25,4.19,1.74,4.85,4,1.7,1.73,2.1,1.79,2.1,1.83,2.14,1.77,2.08,0.75,2,1.9,2.03,1.88,2.03,1.94,1.96,1.87,5,4,1.67,5,4,1.65,,,,5.33,4.13,1.66,5,4,1.65,5.5,3.9,1.62,5.5,4.2,1.71,5.07,4.04,1.67,1.8,2,1.82,2.08,1.85,2.2,1.77,2.07,0.75,2.08,1.85,2.08,1.85,2.1,1.88,2.03,1.83
I1,20/04/2024,19:45,Verona,Udinese,1,0,H,0,0,D,16,18,4,1,18,12,10,6,2,2,0,0,2.55,3.1,3,2.5,3.2,2.87,,,,2.63,3.05,3.08,2.5,3.25,2.8,2.55,3,3,2.64,3.34,3.14,2.58,3.13,2.97,2.2,1.67,2.35,1.65,2.35,1.71,2.22,1.66,0,1.81,2.09,1.81,2.12,1.86,2.12,1.8,2.07,2.8,2.88,2.88,2.75,2.87,2.85,,,,2.84,2.92,3,2.8,2.88,2.8,2.75,2.88,2.88,2.84,3,3.03,2.75,2.92,2.91,2.63,1.5,2.73,1.51,2.73,1.6,2.53,1.52,0,1.91,2.02,1.91,2.02,1.91,2.04,1.88,1.99
I1,21/04/2024,11:30,Sassuolo,Lecce,0,3,A,0,2,A,10,14,3,8,10,13,9,4,1,0,0,0,2.3,3.3,3.2,2.3,3.4,3.1,,,,2.34,3.37,3.24,2.25,3.4,3.1,2.25,3,3.1,2.38,3.58,3.31,2.32,3.37,3.15,2,1.9,2.03,1.86,2.04,1.91,1.96,1.87,-0.25,2.01,1.89,2.02,1.89,2.04,1.94,1.98,1.86,2.25,3.3,3.2,2.25,3.25,3.25,,,,2.31,3.27,3.46,2.2,3.3,3.3,2.25,3.13,3.4,2.32,3.4,3.5,2.28,3.28,3.32,2.05,1.85,2.06,1.85,2.13,1.89,2.04,1.8,-0.25,1.98,1.95,1.98,1.95,2,1.98,1.94,1.9
I1,21/04/2024,14:00,Torino,Frosinone,0,0,D,0,0,D,13,12,2,3,10,17,6,4,2,2,0,0,1.67,3.8,5.25,1.72,3.75,4.8,,,,1.67,3.94,5.4,1.65,3.9,5,1.6,3.4,5.25,1.73,4.04,5.5,1.69,3.86,5.11,2,1.9,1.99,1.9,2.01,1.94,1.94,1.88,-0.75,1.87,2.03,1.88,2.03,1.92,2.06,1.86,1.97,1.7,3.6,5,1.7,3.7,5.25,,,,1.72,3.77,5.44,1.65,3.8,5,1.67,3.5,5.75,1.76,3.85,5.75,1.71,3.72,5.19,2,1.8,2.09,1.81,2.09,1.87,2.02,1.81,-0.75,1.95,1.98,1.94,1.98,1.96,1.98,1.91,1.93
I1,21/04/2024,17:00,Salernitana,Fiorentina,0,2,A,0,0,D,5,12,1,7,13,11,2,5,2,4,0,0,5,4,1.67,5,4,1.63,,,,5.17,4.04,1.68,4.8,4,1.67,5,3.6,1.62,5.3,4.12,1.74,4.97,3.96,1.68,1.8,2,1.83,2.05,1.87,2.09,1.8,2.02,0.75,2.01,1.89,2.03,1.88,2.05,1.91,1.97,1.85,6,4,1.57,5.5,4,1.6,,,,5.76,4.22,1.61,5,4.2,1.6,5.5,4.1,1.57,6,4.3,1.66,5.49,4.12,1.61,1.73,2.1,1.76,2.14,1.79,2.2,1.74,2.11,1,1.88,2.05,1.88,2.05,1.9,2.07,1.84,2.03
I1,21/04/2024,19:45,Monza,Atalanta,1,2,A,0,1,A,17,12,2,6,8,13,2,8,3,2,0,0,4,3.8,1.85,3.9,3.7,1.9,,,,4.09,3.68,1.93,3.9,3.75,1.85,4.1,3.3,1.8,4.33,3.85,1.96,4.03,3.69,1.89,1.89,2.01,1.9,1.99,1.92,2.05,1.85,1.97,0.5,1.99,1.91,1.97,1.93,2.02,1.93,1.96,1.9,3.8,4,1.83,3.9,3.6,1.9,,,,4.29,3.83,1.87,3.8,3.7,1.91,4,3.6,1.87,4.4,4.04,2.04,3.95,3.7,1.92,1.8,2,1.85,2.06,1.94,2.12,1.84,1.99,0.5,2.07,1.86,2.06,1.88,2.08,2.01,1.95,1.93
I1,22/04/2024,17:30,Roma,Bologna,1,3,A,0,2,A,14,11,5,3,8,12,8,2,5,2,0,0,2.4,3.1,3.2,2.35,3.1,3.25,,,,2.41,3.16,3.31,2.38,3.1,3.2,2.3,2.8,3.2,2.46,3.3,3.4,2.39,3.12,3.23,2.38,1.57,2.48,1.58,2.5,1.63,2.4,1.58,-0.25,2.05,1.85,2.05,1.86,2.08,1.88,2.01,1.82,2.38,2.9,3.5,2.37,2.95,3.4,,,,2.39,2.99,3.63,2.3,2.88,3.6,2.38,2.88,3.5,2.45,3.07,3.76,2.37,2.97,3.5,2.63,1.5,2.72,1.51,2.72,1.55,2.59,1.51,-0.25,2.02,1.88,2.02,1.91,2.07,1.92,1.99,1.86
I1,22/04/2024,19:45,Milan,Inter,1,2,A,0,1,A,15,11,6,3,19,10,5,3,3,2,2,1,3.75,3.6,2,3.5,3.7,1.98,,,,3.96,3.68,1.96,3.6,3.75,1.95,3.7,3.3,1.91,4,3.92,2.02,3.73,3.66,1.98,1.73,2.1,1.73,2.2,1.78,2.22,1.73,2.13,0.5,1.91,1.99,1.93,1.97,1.93,2.02,1.87,1.98,3.75,3.4,2,3.75,3.5,2,,,,4.01,3.46,2.04,3.7,3.5,2,3.75,3.4,2,4.01,3.6,2.12,3.73,3.45,2.04,1.88,2.02,1.89,2.02,1.9,2.06,1.82,2,0.5,1.86,2.04,1.88,2.06,1.88,2.07,1.82,2.04
