Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
P1,16/04/2024,20:15,Famalicao,Sp Lisbon,0,1,A,0,1,A,5,10,0,1,10,15,4,6,2,4,0,0,9,5.75,1.3,8.25,5.5,1.31,,,,10.23,5.83,1.3,9,5.5,1.29,9.5,5.5,1.3,11,6,1.33,9.32,5.66,1.3,1.44,2.7,1.47,2.79,1.57,2.8,1.47,2.64,1.5,1.99,1.91,2,1.9,2,1.95,1.96,1.89,8.5,5.75,1.33,8.5,5.75,1.3,,,,10.52,5.93,1.29,9,5.5,1.29,9.5,5.75,1.29,10.52,6,1.34,9.14,5.68,1.3,1.44,2.7,1.46,2.81,1.52,2.81,1.47,2.66,1.5,2.03,1.87,2.04,1.87,2.06,1.94,1.97,1.87
P1,19/04/2024,20:15,Rio Ave,Arouca,1,1,D,1,0,H,6,17,3,5,15,13,4,6,3,3,0,0,2.63,3.2,2.8,2.55,3.2,2.75,,,,2.67,3.17,2.91,2.6,3.2,2.75,2.55,3.25,2.8,2.71,3.25,2.92,2.62,3.16,2.82,2.08,1.73,2.18,1.74,2.25,1.78,2.12,1.72,0,1.85,2.05,1.87,2.04,1.87,2.09,1.84,2.01,2.4,3.25,3,2.45,3.2,2.8,,,,2.56,3.26,2.98,2.5,3.2,2.8,2.55,3.25,2.8,2.67,3.32,3,2.54,3.21,2.86,2.05,1.75,2.09,1.8,2.18,1.82,2.08,1.75,0,1.73,2.08,1.81,2.12,1.88,2.12,1.81,2.05
P1,20/04/2024,15:30,Moreirense,Gil Vicente,0,1,A,0,1,A,15,5,4,3,10,8,8,1,0,0,0,0,2.15,3.2,3.6,2.15,3.25,3.3,,,,2.21,3.27,3.64,2.1,3.3,3.4,2.15,3.25,3.5,2.22,3.35,3.65,2.16,3.26,3.48,2.15,1.67,2.27,1.68,2.29,1.7,2.19,1.67,-0.25,1.88,2.02,1.89,2.02,1.89,2.04,1.85,1.97,2.6,3.1,2.9,2.37,3.1,3,,,,2.63,3.16,2.97,2.38,3.2,3,2.45,3.2,2.9,2.63,3.2,3.25,2.47,3.12,3.03,2.2,1.65,2.26,1.69,2.35,1.71,2.23,1.66,-0.25,2.15,1.68,2.23,1.72,2.25,1.82,2.1,1.75
P1,20/04/2024,18:00,Boavista,Estrela,1,1,D,0,0,D,15,11,5,3,16,7,6,5,2,0,0,0,2.63,3.2,2.75,2.55,3.2,2.7,,,,2.68,3.27,2.83,2.6,3.2,2.7,2.6,3.2,2.7,2.68,3.28,2.88,2.61,3.21,2.76,2.15,1.67,2.21,1.72,2.22,1.74,2.15,1.69,0,1.9,2,1.9,2.01,1.93,2.05,1.87,1.97,2.9,3.1,2.6,2.75,3,2.6,,,,3.02,3.07,2.66,2.7,3.1,2.62,2.8,3.1,2.63,3.02,3.16,2.8,2.85,3.03,2.67,2.35,1.57,2.41,1.61,2.47,1.63,2.34,1.59,0,2.08,1.82,2.08,1.83,2.12,1.91,2.01,1.85
P1,20/04/2024,20:30,Sp Braga,Vizela,2,1,H,0,0,D,15,5,5,2,15,16,4,4,1,3,0,0,1.29,5.5,11,1.27,5.75,9.75,,,,1.26,6.39,10.63,1.25,5.8,11,1.25,5.75,11,1.29,6.5,11,1.27,5.89,10.31,1.5,2.5,1.49,2.68,1.51,2.75,1.49,2.57,-1.5,1.75,2.05,1.77,2.14,1.88,2.14,1.78,2.06,1.25,6,11,1.24,6.5,10,,,,1.23,6.9,11.26,1.22,6.5,11,1.22,6.5,11,1.28,7.1,12,1.23,6.6,10.6,1.36,3.1,1.37,3.17,1.41,3.22,1.37,3.07,-1.75,1.85,2.05,1.86,2.03,1.88,2.09,1.84,1.99
P1,21/04/2024,15:30,Chaves,Estoril,2,2,D,1,0,H,14,10,7,6,11,12,7,5,1,1,0,2,2.88,3.3,2.5,2.7,3.3,2.5,,,,2.9,3.32,2.59,2.7,3.4,2.45,2.75,3.25,2.4,2.93,3.45,2.59,2.82,3.32,2.49,2,1.85,2.06,1.84,2.06,1.89,1.97,1.83,0,2.09,1.81,2.07,1.85,2.12,1.85,2.05,1.8,3,3.1,2.55,2.85,3.2,2.45,,,,3.08,3.19,2.53,2.8,3.25,2.45,2.9,3.3,2.45,3.17,3.34,2.58,2.94,3.2,2.49,2.1,1.7,2.16,1.75,2.28,1.76,2.11,1.73,0.25,1.7,2.1,1.78,2.16,1.81,2.18,1.75,2.1
P1,21/04/2024,15:30,Famalicao,Portimonense,2,2,D,0,1,A,13,14,3,7,11,18,9,6,2,4,1,0,1.62,3.8,6,1.61,3.9,5,,,,1.6,4.11,5.9,1.57,4,5.5,1.55,3.9,5.25,1.63,4.11,6,1.6,3.98,5.46,1.83,2.03,1.86,2.04,1.93,2.05,1.83,1.98,-1,2.07,1.83,2.09,1.83,2.12,1.85,2.05,1.79,1.62,3.8,5.75,1.65,3.8,5,,,,1.63,3.95,5.84,1.62,3.9,5,1.62,3.9,5.5,1.68,4.05,5.93,1.63,3.9,5.28,1.85,2,1.86,2.03,1.99,2.03,1.84,1.96,-0.75,1.82,2.08,1.82,2.1,1.87,2.12,1.8,2.04
P1,21/04/2024,18:00,Casa Pia,Porto,1,2,A,1,1,D,11,16,4,5,18,15,8,4,3,1,0,0,8,5,1.36,8.5,4.75,1.36,,,,9.54,4.88,1.37,9,4.6,1.35,9,4.4,1.33,10,5.1,1.39,8.89,4.76,1.36,1.95,1.9,2,1.88,2,1.95,1.92,1.87,1.25,2.02,1.88,1.99,1.92,2.05,1.92,1.96,1.85,8.5,5.5,1.33,8.75,5,1.33,,,,9.62,5.55,1.33,9.5,5,1.3,10,5.25,1.3,10,5.6,1.35,9.12,5.23,1.33,1.65,2.2,1.69,2.26,1.73,2.26,1.68,2.18,1.5,1.89,2.01,1.91,1.99,1.94,2.03,1.87,1.97
P1,21/04/2024,20:30,Sp Lisbon,Guimaraes,3,0,H,2,0,H,10,6,4,1,10,10,5,3,1,1,0,0,1.3,5.5,10,1.29,5.5,9,,,,1.28,6.04,10.81,1.29,5.5,9.5,1.25,5.5,9.5,1.3,6.2,11,1.28,5.66,9.8,1.57,2.35,1.58,2.49,1.62,2.5,1.57,2.37,-1.5,1.86,2.04,1.88,2.03,1.98,2.06,1.86,1.98,1.2,7,15,1.21,6.5,12.5,,,,1.18,7.66,16.21,1.18,7,13,1.18,7,15,1.22,7.66,16.21,1.2,6.99,13.77,1.44,2.7,1.43,2.94,1.49,2.94,1.44,2.76,-2,1.92,1.92,1.93,1.93,2.08,1.98,1.95,1.89
P1,22/04/2024,20:15,Farense,Benfica,1,3,A,1,2,A,12,20,3,9,12,10,3,7,1,2,0,0,6.5,5.5,1.4,6.75,4.8,1.4,,,,6.63,5.28,1.42,7,4.8,1.4,6.5,4.6,1.36,8,5.5,1.44,6.7,5.02,1.41,1.53,2.4,1.59,2.45,1.62,2.55,1.55,2.4,1.25,1.95,1.95,1.96,1.93,2.04,1.97,1.92,1.88,8.5,5.5,1.33,8.25,5.5,1.32,,,,8.88,5.95,1.32,9,5.5,1.29,9.5,5.5,1.3,9.5,6,1.35,8.55,5.63,1.32,1.44,2.7,1.49,2.73,1.5,2.85,1.46,2.7,1.5,1.99,1.91,2,1.91,2.03,1.92,1.97,1.88
