Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
SP2,19/04/2024,19:30,Tenerife,Leganes,0,0,D,0,0,D,3,8,0,3,18,15,6,2,3,0,0,0,2.75,2.63,3.2,2.65,2.55,3,,,,2.83,2.7,3.24,,,,2.75,2.63,3.13,2.88,2.7,3.27,2.73,2.62,3.12,4,1.25,3.79,1.29,4,1.32,3.52,1.28,0,1.8,2.05,1.83,2.1,1.84,2.1,1.8,2.04,2.45,2.75,3.4,2.6,2.65,3,,,,2.55,2.77,3.58,,,,2.7,2.7,3.1,2.8,2.8,3.58,2.65,2.67,3.17,3.4,1.33,3.37,1.35,3.4,1.36,3.23,1.33,-0.25,2.05,1.8,2.12,1.81,2.33,1.81,2.2,1.68
SP2,20/04/2024,13:00,Amorebieta,Valladolid,0,3,A,0,0,D,9,14,3,9,10,9,2,6,3,2,1,0,3.8,3.1,2.1,3.7,2.95,2.05,,,,3.8,3.05,2.13,,,,3.9,3,2.1,4,3.16,2.17,3.78,3.05,2.09,2.7,1.44,2.68,1.47,2.7,1.49,2.63,1.46,0.25,2.05,1.8,2.02,1.81,2.13,1.82,2.02,1.78,3.4,3.1,2.25,3.3,2.87,2.2,,,,3.67,3.03,2.32,,,,3.5,3,2.25,3.67,3.11,2.35,3.49,2.98,2.23,2.6,1.48,2.74,1.5,2.74,1.5,2.61,1.47,0.25,1.9,1.95,1.94,1.96,2.02,2,1.92,1.89
SP2,20/04/2024,15:15,Santander,Levante,0,0,D,0,0,D,21,17,7,5,11,17,3,3,1,0,0,0,2.15,3.4,3.3,2.15,3.25,3,,,,2.14,3.34,3.39,,,,2.2,3.25,3.3,2.2,3.45,3.47,2.17,3.33,3.24,1.93,1.93,1.86,1.94,2.02,1.96,1.88,1.89,-0.25,1.9,1.95,1.85,1.97,1.98,1.98,1.86,1.93,2.2,3.5,3.2,2.1,3.3,3.1,,,,2.24,3.48,3.33,,,,2.15,3.4,3.3,2.24,3.55,3.47,2.15,3.37,3.27,1.83,2.03,1.85,2.05,1.93,2.06,1.82,1.95,-0.25,1.93,1.93,1.94,1.96,1.94,2.05,1.86,1.95
SP2,20/04/2024,15:15,Villarreal B,Ferrol,1,0,H,0,0,D,12,15,5,3,14,7,3,4,3,1,0,0,2.4,3.1,3,2.35,3,2.9,,,,2.47,3.05,3.05,,,,2.4,3.1,3.1,2.53,3.22,3.13,2.41,3.07,3.01,2.3,1.6,2.32,1.6,2.4,1.63,2.3,1.59,-0.25,2.1,1.78,2.11,1.75,2.12,1.83,2.05,1.76,2.5,3.2,2.9,2.55,3,2.7,,,,2.57,3.17,3.05,,,,2.6,3.1,2.8,2.72,3.2,3.05,2.59,3.06,2.81,2.25,1.62,2.27,1.69,2.37,1.69,2.24,1.63,0,1.78,2.1,1.8,2.14,1.9,2.14,1.83,2.03
SP2,20/04/2024,17:30,Elche,Sp Gijon,2,1,H,2,0,H,10,11,3,4,15,13,1,7,2,5,0,0,1.7,3.6,5.25,1.66,3.5,4.8,,,,1.74,3.72,5.18,,,,1.7,3.5,5.25,1.75,3.73,5.25,1.71,3.56,4.95,2.15,1.67,2.25,1.7,2.25,1.7,2.17,1.66,-0.75,1.98,1.88,1.98,1.92,2,1.94,1.93,1.87,1.65,3.75,5.5,1.61,3.6,5.25,,,,1.68,3.66,5.9,,,,1.62,3.6,5.75,1.71,3.8,5.9,1.64,3.62,5.47,2.15,1.67,2.22,1.71,2.29,1.73,2.15,1.68,-0.75,1.88,1.98,1.9,2.01,1.93,2.02,1.86,1.95
SP2,20/04/2024,20:00,Huesca,Zaragoza,1,2,A,1,2,A,6,9,3,4,14,17,8,3,3,5,1,1,2.7,2.7,3.1,2.45,2.7,3.1,,,,2.63,2.61,3.37,,,,2.63,2.7,3.2,2.7,2.83,3.5,2.56,2.68,3.26,3.5,1.3,3.44,1.3,3.5,1.34,3.29,1.31,-0.25,2.2,1.65,2.17,1.7,2.21,1.81,2.13,1.7,2.55,2.55,3.75,2.45,2.45,3.6,,,,2.66,2.45,4,,,,2.5,2.6,3.6,2.66,2.6,4.08,2.53,2.46,3.75,4,1.25,4.11,1.26,4.11,1.28,3.8,1.25,-0.25,2.13,1.75,2.15,1.79,2.16,1.85,2.05,1.78
SP2,21/04/2024,13:00,Espanol,Andorra,1,1,D,0,1,A,12,12,4,6,12,6,6,2,5,3,0,0,1.65,3.75,5.5,1.7,3.4,4.75,,,,1.67,3.67,5.17,,,,1.65,3.5,5.25,1.73,3.81,5.5,1.69,3.58,4.99,2.1,1.7,2.09,1.73,2.19,1.75,2.1,1.7,-0.75,1.85,2,1.88,1.93,2.02,2,1.88,1.9,1.7,3.5,5.5,1.66,3.5,4.8,,,,1.7,3.65,5.66,,,,1.67,3.6,5.25,1.75,3.65,5.93,1.69,3.53,5.21,2.08,1.73,2.12,1.78,2.16,1.8,2.09,1.72,-0.75,1.93,1.93,1.93,1.97,1.97,1.99,1.89,1.91
SP2,21/04/2024,15:15,Eibar,Alcorcon,2,0,H,1,0,H,16,14,5,3,14,11,5,5,1,5,0,1,1.5,4.2,8,1.46,4,6.5,,,,1.47,4.37,7.96,,,,1.44,4,7.5,1.5,4.37,8,1.44,4.1,7.36,2.1,1.7,2.12,1.76,2.17,1.76,2.09,1.7,-1,1.8,2.05,1.79,2.11,1.85,2.11,1.77,2.04,1.4,4.2,9.5,1.4,4,8,,,,1.43,4.38,9.11,,,,1.44,4,8.5,1.48,4.38,9.6,1.43,4.07,8.03,2.15,1.67,2.2,1.73,2.26,1.73,2.15,1.68,-1.25,2.03,1.83,2.08,1.84,2.25,1.87,2.07,1.77
SP2,21/04/2024,15:15,Eldense,Albacete,0,1,A,0,0,D,12,8,4,2,17,8,8,3,2,1,0,0,2.4,3.1,3.2,2.25,3.1,3,,,,2.44,3.12,3.04,,,,2.38,3.1,3,2.49,3.2,3.2,2.37,3.1,3.02,2.25,1.62,2.25,1.63,2.28,1.66,2.24,1.61,-0.25,2.05,1.8,2.08,1.76,2.12,1.83,2.03,1.76,3.2,3.1,2.4,3,3,2.3,,,,3.23,3.07,2.51,,,,3.1,3.1,2.4,3.33,3.1,2.55,3.1,3.03,2.41,2.25,1.62,2.33,1.65,2.42,1.65,2.27,1.61,0.25,1.8,2.05,1.8,2.13,1.87,2.14,1.77,2.06
SP2,21/04/2024,17:30,Mirandes,Burgos,2,1,H,0,0,D,11,6,5,2,11,11,6,3,1,4,0,0,2.4,3.1,3.2,2.25,3,3.1,,,,2.5,3.15,3.16,,,,2.38,3,3.1,2.53,3.15,3.25,2.37,3.05,3.09,2.4,1.53,2.51,1.57,2.51,1.58,2.4,1.54,-0.25,2.03,1.83,2.08,1.76,2.08,1.87,2.01,1.78,2.55,3,3,2.5,2.87,2.85,,,,2.64,2.99,3.12,,,,2.6,3,2.9,2.74,3.05,3.22,2.56,2.95,2.96,2.5,1.5,2.64,1.53,2.7,1.56,2.49,1.51,0,1.75,2.13,1.8,2.13,1.83,2.14,1.77,2.09
